ENTITYA	TYPEA	IDA	DATABASEA	ENTITYB	TYPEB	IDB	DATABASEB	EFFECT	MECHANISM
KLF16	protein	Q9BXK1	UNIPROT	SIN3A	protein	Q96ST3	UNIPROT	up-regulates activity	binding
GUCY1A3	protein	Q02108	UNIPROT	GUCY1A3-B2	complex	SIGNOR-C139	SIGNOR	form complex	binding
calcium ion	smallmolecule	CID:271	PUBCHEM	PLA2G4A	protein	P47712	UNIPROT	up-regulates	relocalization
MEN1	protein	O00255	UNIPROT	RELA	protein	Q04206	UNIPROT	down-regulates	binding
PPP1CA	protein	P62136	UNIPROT	AURKA	protein	O14965	UNIPROT	down-regulates	dephosphorylation
GZMA	protein	P12544	UNIPROT	SET	protein	Q01105	UNIPROT	down-regulates	cleavage
SUZ12/EZH2/YY1	complex	SIGNOR-C102	SIGNOR	PAX7	protein	P23759	UNIPROT	down-regulates quantity by repression	transcriptional regulation
lysophosphatidic acid	smallmolecule	CID:5497152	PUBCHEM	LPAR3	protein	Q9UBY5	UNIPROT	up-regulates	binding
DTX1	protein	Q86Y01	UNIPROT	ASCL1	protein	P50553	UNIPROT	down-regulates	binding
CDK1	protein	P06493	UNIPROT	CDC25C	protein	P30307	UNIPROT	up-regulates	phosphorylation
HTRA2	protein	O43464	UNIPROT	XIAP	protein	P98170	UNIPROT	down-regulates	binding
PRKACA	protein	P17612	UNIPROT	UBE3A	protein	Q05086	UNIPROT	down-regulates activity	phosphorylation
PLK1	protein	P53350	UNIPROT	CENPU	protein	Q71F23	UNIPROT	down-regulates	phosphorylation
PLK1	protein	P53350	UNIPROT	CENPU	protein	Q71F23	UNIPROT	down-regulates	phosphorylation
JAK2	protein	O60674	UNIPROT	RAF1	protein	P04049	UNIPROT	up-regulates activity	phosphorylation
PPP6C	protein	O00743	UNIPROT	MAP3K7	protein	O43318	UNIPROT	down-regulates	dephosphorylation
MAP3K8	protein	P41279	UNIPROT	MAP2K1	protein	Q02750	UNIPROT	up-regulates	phosphorylation
CDK1	protein	P06493	UNIPROT	CUX1	protein	P39880	UNIPROT	down-regulates	phosphorylation
TFE3	protein	P19532	UNIPROT	MYH9	protein	P35579	UNIPROT	up-regulates quantity by expression	transcriptional regulation
TFEC	protein	O14948	UNIPROT	MYH9	protein	P35579	UNIPROT	up-regulates quantity by expression	transcriptional regulation
THEM4	protein	Q5T1C6	UNIPROT	AKT1	protein	P31749	UNIPROT	down-regulates	binding
PRKAA2	protein	P54646	UNIPROT	VASP	protein	P50552	UNIPROT	down-regulates	phosphorylation
thalidomide	chemical	CID:5426	PUBCHEM	CRBN	protein	Q96SW2	UNIPROT	up-regulates activity	binding
MAP3K8	protein	P41279	UNIPROT	MAP2K1	protein	Q02750	UNIPROT	up-regulates	phosphorylation
RASGEF1A	protein	Q8N9B8	UNIPROT	NRAS	protein	P01111	UNIPROT	up-regulates	binding
USF1	protein	P22415	UNIPROT	MYH9	protein	P35579	UNIPROT	up-regulates quantity by expression	transcriptional regulation
LCK	protein	P06239	UNIPROT	IL2RB	protein	P14784	UNIPROT	unknown	phosphorylation
RPS6KA1	protein	Q15418	UNIPROT	GSK3B	protein	P49841	UNIPROT	down-regulates	phosphorylation
ATR	protein	Q13535	UNIPROT	BRCA1	protein	P38398	UNIPROT	up-regulates activity	phosphorylation
CDK1	protein	P06493	UNIPROT	CUX1	protein	P39880	UNIPROT	down-regulates	phosphorylation
LCK	protein	P06239	UNIPROT	LCP2	protein	Q13094	UNIPROT	unknown	phosphorylation
USF2	protein	Q15853	UNIPROT	MYH9	protein	P35579	UNIPROT	up-regulates quantity by expression	transcriptional regulation
IRF8	protein	Q02556	UNIPROT	CYBB	protein	P04839	UNIPROT	up-regulates quantity by expression	transcriptional regulation
IRF8	protein	Q02556	UNIPROT	NCF2	protein	P19878	UNIPROT	up-regulates quantity by expression	transcriptional regulation
IRF1	protein	P10914	UNIPROT	IRF8	protein	Q02556	UNIPROT	up-regulates activity	binding
HOXB8	protein	P17481	UNIPROT	PBX3	protein	P40426	UNIPROT	up-regulates activity	binding
HOXB8	protein	P17481	UNIPROT	PBX1	protein	P40424	UNIPROT	up-regulates activity	binding
ATXN7	protein	O15265	UNIPROT	CRX	protein	O43186	UNIPROT	down-regulates activity	binding
Guanosine 5'-diphosphate	smallmolecule	CID:8977	PUBCHEM	GNAS	protein	P63092	UNIPROT	down-regulates	chemical inhibition
MAPK3	protein	P27361	UNIPROT	UBTF	protein	P17480	UNIPROT	down-regulates	phosphorylation
Lenalidomide	chemical	CID:216326	PUBCHEM	CRBN	protein	Q96SW2	UNIPROT	up-regulates activity	binding
RFX4	protein	Q33E94	UNIPROT	IFT172	protein	Q9UG01	UNIPROT	up-regulates quantity by expression	transcriptional regulation
PRKAA1	protein	Q13131	UNIPROT	ZNF692	protein	Q9BU19	UNIPROT	down-regulates	phosphorylation
MAP3K8	protein	P41279	UNIPROT	MAP2K1	protein	Q02750	UNIPROT	up-regulates	phosphorylation
CDK1	protein	P06493	UNIPROT	NPM1	protein	P06748	UNIPROT	down-regulates activity	phosphorylation
CyclinB/CDK1	complex	SIGNOR-C17	SIGNOR	NPM1	protein	P06748	UNIPROT	down-regulates activity	phosphorylation
LCK	protein	P06239	UNIPROT	PTPN6	protein	P29350	UNIPROT	up-regulates activity	phosphorylation
MAPK3	protein	P27361	UNIPROT	POU5F1	protein	Q01860	UNIPROT	down-regulates	phosphorylation
PPP2CA	protein	P67775	UNIPROT	SNCA	protein	P37840	UNIPROT	down-regulates activity	dephosphorylation
MAP2K6	protein	P52564	UNIPROT	MAPK13	protein	O15264	UNIPROT	up-regulates activity	phosphorylation
1173900-33-8	chemical	CID:44137675	PUBCHEM	PIK3CB	protein	P42338	UNIPROT	down-regulates	chemical inhibition
Adenosine triphosphate	smallmolecule	CID:5957	PUBCHEM	PRKAG1	protein	P54619	UNIPROT	down-regulates	binding
LCK	protein	P06239	UNIPROT	PIK3R1	protein	P27986	UNIPROT	down-regulates activity	phosphorylation
LCK	protein	P06239	UNIPROT	LCP2	protein	Q13094	UNIPROT	unknown	phosphorylation
LCK	protein	P06239	UNIPROT	ITK	protein	Q08881	UNIPROT	up-regulates	phosphorylation
LCK	protein	P06239	UNIPROT	IL2RB	protein	P14784	UNIPROT	unknown	phosphorylation
PTK2	protein	Q05397	UNIPROT	ACTN4	protein	O43707	UNIPROT	up-regulates	phosphorylation
MAPK3	protein	P27361	UNIPROT	RPS3	protein	P23396	UNIPROT	unknown	phosphorylation
IGF1R	protein	P08069	UNIPROT	AKT	proteinfamily	SIGNOR-PF24	SIGNOR	up-regulates activity	
MAP3K3	protein	Q99759	UNIPROT	MAP2K6	protein	P52564	UNIPROT	up-regulates	
MAPK7	protein	Q13164	UNIPROT	PML	protein	P29590	UNIPROT	down-regulates	phosphorylation
RXRB	protein	P28702	UNIPROT	RARG	protein	P13631	UNIPROT	up-regulates	binding
TNF	protein	P01375	UNIPROT	PIK3CG	protein	P48736	UNIPROT	up-regulates	binding
TRAF7	protein	Q6Q0C0	UNIPROT	MAP3K3	protein	Q99759	UNIPROT	up-regulates	binding
ARAF	protein	P10398	UNIPROT	MAP2K2	protein	P36507	UNIPROT	up-regulates	phosphorylation
Prostaglandin E2	smallmolecule	CID:5280360	PUBCHEM	PTGER2	protein	P43116	UNIPROT	up-regulates	chemical activation
IL22	protein	Q9GZX6	UNIPROT	IL10RB	protein	Q08334	UNIPROT	up-regulates	binding
MAP2K4	protein	P45985	UNIPROT	MAP2K4	protein	P45985	UNIPROT	up-regulates activity	phosphorylation
ACVR1	protein	Q04771	UNIPROT	SMAD1	protein	Q15797	UNIPROT	up-regulates activity	phosphorylation
MAPK1	protein	P28482	UNIPROT	TNFRSF1A	protein	P19438	UNIPROT	down-regulates activity	phosphorylation
CSNK2A2	protein	P19784	UNIPROT	ARRB2	protein	P32121	UNIPROT	unknown	phosphorylation
NME2	protein	P22392	UNIPROT	NME2	protein	P22392	UNIPROT	up-regulates activity	phosphorylation
CSNK2A1	protein	P68400	UNIPROT	TERF1	protein	P54274	UNIPROT	up-regulates	phosphorylation
PRKACA	protein	P17612	UNIPROT	NF2	protein	P35240	UNIPROT	up-regulates	phosphorylation
CSNK1A1	protein	P48729	UNIPROT	BID	protein	P55957	UNIPROT	up-regulates activity	phosphorylation
PDK2	protein	Q15119	UNIPROT	PDHA1	protein	P08559	UNIPROT	down-regulates	phosphorylation
MAPK3	protein	P27361	UNIPROT	PPARA	protein	Q07869	UNIPROT	up-regulates activity	phosphorylation
FGFR3	protein	P22607	UNIPROT	FGFR3	protein	P22607	UNIPROT	down-regulates activity	phosphorylation
MAPK3	protein	P27361	UNIPROT	TFCP2	protein	Q12800	UNIPROT	down-regulates	phosphorylation
SS18L1	protein	O75177	UNIPROT	CREBBP	protein	Q92793	UNIPROT	up-regulates	relocalization
RAF1	protein	P04049	UNIPROT	STK3	protein	Q13188	UNIPROT	down-regulates	binding
MKNK1	protein	Q9BUB5	UNIPROT	SPRY2	protein	O43597	UNIPROT	down-regulates	phosphorylation
EGFR	protein	P00533	UNIPROT	GAB1	protein	Q13480	UNIPROT	up-regulates	phosphorylation
PLK1	protein	P53350	UNIPROT	BRCA2	protein	P51587	UNIPROT	unknown	phosphorylation
CSNK2A1	protein	P68400	UNIPROT	PTGES3	protein	Q15185	UNIPROT	up-regulates	phosphorylation
GSK3B	protein	P49841	UNIPROT	MAFA	protein	Q8NHW3	UNIPROT	down-regulates	phosphorylation
FYN	protein	P06241	UNIPROT	FCGR2A	protein	P12318	UNIPROT	up-regulates activity	phosphorylation
PRKCZ	protein	Q05513	UNIPROT	NCF1	protein	P14598	UNIPROT	up-regulates	phosphorylation
STK24	protein	Q9Y6E0	UNIPROT	STK38	protein	Q15208	UNIPROT	up-regulates	phosphorylation
RB1	protein	P06400	UNIPROT	MYOD1	protein	P15172	UNIPROT	up-regulates	binding
CH5132799	chemical	CID:49784945	PUBCHEM	MTOR	protein	P42345	UNIPROT	down-regulates	chemical inhibition
PRKCA	protein	P17252	UNIPROT	KIT	protein	P10721	UNIPROT	down-regulates activity	phosphorylation
PRKCA	protein	P17252	UNIPROT	SRC	protein	P12931	UNIPROT	unknown	phosphorylation
SPOP	protein	O43791	UNIPROT	NCOA3	protein	Q9Y6Q9	UNIPROT	down-regulates quantity by destabilization	binding
PAK5	protein	Q9P286	UNIPROT	PAK5	protein	Q9P286	UNIPROT	up-regulates activity	phosphorylation
NCOA3	protein	Q9Y6Q9	UNIPROT	AR	protein	P10275	UNIPROT	up-regulates activity	binding
NCOA2	protein	Q15596	UNIPROT	AR	protein	P10275	UNIPROT	up-regulates activity	binding
MAPK3	protein	P27361	UNIPROT	MKL1	protein	Q969V6	UNIPROT	down-regulates	phosphorylation
FGFR1	protein	P11362	UNIPROT	FGFR1	protein	P11362	UNIPROT	up-regulates	phosphorylation
PTPN1	protein	P18031	UNIPROT	INSR	protein	P06213	UNIPROT	down-regulates activity	dephosphorylation
SIRT1	protein	Q96EB6	UNIPROT	MYOD1	protein	P15172	UNIPROT	down-regulates activity	
STANOLONE	smallmolecule	CID:10635	PUBCHEM	AR	protein	P10275	UNIPROT	up-regulates	chemical activation
AR	protein	P10275	UNIPROT	AR	protein	P10275	UNIPROT	up-regulates activity	binding
AR	protein	P10275	UNIPROT	Differentiation	phenotype	SIGNOR-PH37	SIGNOR	up-regulates	
AR	protein	P10275	UNIPROT	Survival	phenotype	SIGNOR-PH13	SIGNOR	up-regulates	
AR	protein	P10275	UNIPROT	Proliferation	phenotype	SIGNOR-PH4	SIGNOR	up-regulates	
FOXA1	protein	P55317	UNIPROT	AR	protein	P10275	UNIPROT	down-regulates quantity by repression	transcriptional regulation
EZH2	protein	Q15910	UNIPROT	AR	protein	P10275	UNIPROT	up-regulates activity	binding
AR	protein	P10275	UNIPROT	UBE2C	protein	O00762	UNIPROT	up-regulates quantity by expression	transcriptional regulation
CSF1R	protein	P07333	UNIPROT	CSF1R	protein	P07333	UNIPROT	down-regulates	phosphorylation
AR	protein	P10275	UNIPROT	ERG	protein	B2Y833	UNIPROT	up-regulates quantity by expression	transcriptional regulation
AR	protein	P10275	UNIPROT	NKX3-1	protein	Q99801	UNIPROT	up-regulates quantity by expression	transcriptional regulation
NKX3-1	protein	Q99801	UNIPROT	AR	protein	P10275	UNIPROT	down-regulates quantity by repression	transcriptional regulation
LCK	protein	P06239	UNIPROT	SIGLEC10	protein	Q96LC7	UNIPROT	unknown	phosphorylation
NKX3-1	protein	Q99801	UNIPROT	TP53	protein	P04637	UNIPROT	up-regulates quantity by stabilization	stabilization
NKX3-1	protein	Q99801	UNIPROT	HDAC1	protein	Q13547	UNIPROT	down-regulates activity	binding
AKT	proteinfamily	SIGNOR-PF24	SIGNOR	Survival	phenotype	SIGNOR-PH13	SIGNOR	up-regulates	
PRKCD	protein	Q05655	UNIPROT	ELAVL1	protein	Q15717	UNIPROT	up-regulates	phosphorylation
MAP2K4	protein	P45985	UNIPROT	MAPK8	protein	P45983	UNIPROT	up-regulates activity	phosphorylation
CDK4	protein	P11802	UNIPROT	RB1	protein	P06400	UNIPROT	down-regulates	phosphorylation
PTPRC	protein	P08575	UNIPROT	SKAP1	protein	Q86WV1	UNIPROT	up-regulates activity	dephosphorylation
CDK2	protein	P24941	UNIPROT	ZC3HC1	protein	Q86WB0	UNIPROT	down-regulates	phosphorylation
FRZB	protein	Q92765	UNIPROT	WNT1	protein	P04628	UNIPROT	down-regulates	binding
MTOR	protein	P42345	UNIPROT	RPTOR	protein	Q8N122	UNIPROT	up-regulates activity	phosphorylation
AURKB	protein	Q96GD4	UNIPROT	KIF2C	protein	Q99661	UNIPROT	up-regulates	phosphorylation
SRC	protein	P12931	UNIPROT	LRP1	protein	Q07954	UNIPROT	up-regulates activity	phosphorylation
CAMK2G	protein	Q13555	UNIPROT	PLCB3	protein	Q01970	UNIPROT	unknown	phosphorylation
NKX3-1	protein	Q99801	UNIPROT	AKT	proteinfamily	SIGNOR-PF24	SIGNOR	down-regulates activity	
testosterone	smallmolecule	CID:6013	PUBCHEM	AR	protein	P10275	UNIPROT	up-regulates activity	chemical activation
testosterone	smallmolecule	CID:6013	PUBCHEM	SRD5A1	protein	P18405	UNIPROT	up-regulates activity	chemical activation
ERG	protein	B2Y833	UNIPROT	NKX3-1	protein	Q99801	UNIPROT	down-regulates quantity by repression	transcriptional regulation
ERG	protein	B2Y833	UNIPROT	EZH2	protein	Q15910	UNIPROT	up-regulates quantity by expression	transcriptional regulation
ERG	protein	B2Y833	UNIPROT	MYC	protein	P01106	UNIPROT	up-regulates quantity by expression	transcriptional regulation
TBX2	protein	Q13207	UNIPROT	Proliferation	phenotype	SIGNOR-PH4	SIGNOR	up-regulates	
TBX2	protein	Q13207	UNIPROT	Skeletal Muscle Differentiation	phenotype	SIGNOR-PH1	SIGNOR	down-regulates	
CDKN1A	protein	P38936	UNIPROT	Cell cycle progr.	phenotype	SIGNOR-PH42	SIGNOR	down-regulates	
INSR	protein	P06213	UNIPROT	ADRB2	protein	P07550	UNIPROT	down-regulates activity	phosphorylation
INSR	protein	P06213	UNIPROT	ADRB2	protein	P07550	UNIPROT	down-regulates activity	phosphorylation
TEC	protein	P42680	UNIPROT	BMX	protein	P51813	UNIPROT	up-regulates	phosphorylation
TBX2	protein	Q13207	UNIPROT	MYOD1	protein	P15172	UNIPROT	down-regulates activity	binding
L-serine	chemical	CID:5951	PUBCHEM	PKM	protein	P14618	UNIPROT	up-regulates activity	binding
PLCG1	protein	P19174	UNIPROT	Diacylglycerol	smallmolecule	CID:6026790	PUBCHEM	up-regulates quantity	small molecule catalysis
Diacylglycerol	smallmolecule	CID:6026790	PUBCHEM	PRKCA	protein	P17252	UNIPROT	up-regulates activity	binding
Pax3-FOXO1	protein	J9SW06	UNIPROT	PDGFA	protein	P04085	UNIPROT	up-regulates quantity by expression	transcriptional regulation
PAX3	protein	P23760	UNIPROT	FGFR4	protein	P22455	UNIPROT	up-regulates quantity by expression	transcriptional regulation
Pax3-FOXO1	protein	J9SW06	UNIPROT	IGF2	protein	P01344	UNIPROT	up-regulates quantity by expression	transcriptional regulation
MYOD1	protein	P15172	UNIPROT	CDKN1A	protein	P38936	UNIPROT	down-regulates quantity by repression	transcriptional regulation
MYOG	protein	P15173	UNIPROT	CDKN1A	protein	P38936	UNIPROT	down-regulates quantity by repression	transcriptional regulation
NRAS	protein	P01111	UNIPROT	PIK3CA	protein	P42336	UNIPROT	up-regulates activity	binding
CAMK2G	protein	Q13555	UNIPROT	CHAT	protein	P28329	UNIPROT	up-regulates activity	phosphorylation
CAMK2G	protein	Q13555	UNIPROT	GRIA1	protein	P42261	UNIPROT	up-regulates activity	phosphorylation
SRC	protein	P12931	UNIPROT	CDH5	protein	P33151	UNIPROT	down-regulates activity	phosphorylation
AKT1	protein	P31749	UNIPROT	CDKN1A	protein	P38936	UNIPROT	down-regulates activity	phosphorylation
SRD5A1	protein	P18405	UNIPROT	STANOLONE	smallmolecule	CID:10635	PUBCHEM	up-regulates activity	small molecule catalysis
CDON	protein	Q4KMG0	UNIPROT	MAP3K5	protein	Q99683	UNIPROT	unknown	binding
CDON	protein	Q4KMG0	UNIPROT	MAP3K7	protein	O43318	UNIPROT	unknown	binding
CDON/SPAG9	complex	SIGNOR-C21	SIGNOR	MAP3K5	protein	Q99683	UNIPROT	unknown	binding
CDON/SPAG9	complex	SIGNOR-C21	SIGNOR	MAP3K7	protein	O43318	UNIPROT	unknown	binding
SPAG9	protein	O60271	UNIPROT	MAP3K7	protein	O43318	UNIPROT	unknown	binding
SPAG9	protein	O60271	UNIPROT	MAP3K5	protein	Q99683	UNIPROT	unknown	binding
PHLPP1	protein	O60346	UNIPROT	AKT2	protein	P31751	UNIPROT	unknown	dephosphorylation
PDPK1	protein	O15530	UNIPROT	PDPK1	protein	O15530	UNIPROT	unknown	phosphorylation
CNOT3	protein	O75175	UNIPROT	CAND2	protein	O75155	UNIPROT	unknown	binding
g-secretase	complex	SIGNOR-C98	SIGNOR	APP	protein	P05067	UNIPROT	up-regulates activity	cleavage
APP	protein	P05067	UNIPROT	NAE1	protein	Q13564	UNIPROT	up-regulates activity	binding
GRIN2A	protein	Q12879	UNIPROT	calcium ion	smallmolecule	CID:271	PUBCHEM	up-regulates quantity	relocalization
PDPK1	protein	O15530	UNIPROT	PDPK1	protein	O15530	UNIPROT	unknown	phosphorylation
PDPK1	protein	O15530	UNIPROT	PDPK1	protein	O15530	UNIPROT	unknown	phosphorylation
CDK5/CDK5R1	complex	SIGNOR-C144	SIGNOR	MAPT	protein	P10636	UNIPROT	down-regulates activity	phosphorylation
calcium ion	smallmolecule	CID:271	PUBCHEM	CAPN1	protein	P07384	UNIPROT	up-regulates activity	chemical activation
CAPN1	protein	P07384	UNIPROT	CDK5/CDK5R1	complex	SIGNOR-C144	SIGNOR	up-regulates activity	cleavage
CAST	protein	P20810	UNIPROT	CAPN1	protein	P07384	UNIPROT	down-regulates activity	binding
CAPN1	protein	P07384	UNIPROT	CDK5R1	protein	Q15078	UNIPROT	up-regulates activity	cleavage
CAPN1	protein	P07384	UNIPROT	MAPT	protein	P10636	UNIPROT	down-regulates activity	cleavage
CAPN1	protein	P07384	UNIPROT	GSK3A	protein	P49840	UNIPROT	up-regulates activity	cleavage
CAPN1	protein	P07384	UNIPROT	GSK3B	protein	P49841	UNIPROT	up-regulates activity	cleavage
CDK5/CDK5R1	complex	SIGNOR-C144	SIGNOR	MAPT	protein	P10636	UNIPROT	down-regulates activity	phosphorylation
CDK5/CDK5R1	complex	SIGNOR-C144	SIGNOR	MAPT	protein	P10636	UNIPROT	down-regulates activity	phosphorylation
CDK5/CDK5R1	complex	SIGNOR-C144	SIGNOR	MAPT	protein	P10636	UNIPROT	down-regulates activity	phosphorylation
CDK5/CDK5R1	complex	SIGNOR-C144	SIGNOR	MAPT	protein	P10636	UNIPROT	down-regulates activity	phosphorylation
CDK5	protein	Q00535	UNIPROT	TP53	protein	P04637	UNIPROT	up-regulates	phosphorylation
CDK5/CDK5R1	complex	SIGNOR-C144	SIGNOR	MAPT	protein	P10636	UNIPROT	down-regulates	phosphorylation
AT-406	chemical	CID:25022340	PUBCHEM	BIRC2	protein	Q13490	UNIPROT	down-regulates	chemical inhibition
CDK5/CDK5R1	complex	SIGNOR-C144	SIGNOR	MAPT	protein	P10636	UNIPROT	down-regulates activity	phosphorylation
CDK5/CDK5R1	complex	SIGNOR-C144	SIGNOR	MAPT	protein	P10636	UNIPROT	down-regulates activity	phosphorylation
CDK5/CDK5R1	complex	SIGNOR-C144	SIGNOR	MAPT	protein	P10636	UNIPROT	down-regulates activity	phosphorylation
CAPN3	protein	P20807	UNIPROT	CDK5/CDK5R1	complex	SIGNOR-C144	SIGNOR	up-regulates activity	cleavage
CAST	protein	P20810	UNIPROT	CAPN3	protein	P20807	UNIPROT	down-regulates activity	binding
CAPN3	protein	P20807	UNIPROT	CDK5R1	protein	Q15078	UNIPROT	up-regulates activity	cleavage
CAPN3	protein	P20807	UNIPROT	MAPT	protein	P10636	UNIPROT	down-regulates activity	cleavage
CAPN3	protein	P20807	UNIPROT	GSK3A	protein	P49840	UNIPROT	up-regulates activity	cleavage
CAPN3	protein	P20807	UNIPROT	GSK3B	protein	P49841	UNIPROT	up-regulates activity	cleavage
CAPN2	protein	P17655	UNIPROT	CDK5/CDK5R1	complex	SIGNOR-C144	SIGNOR	up-regulates activity	cleavage
CAST	protein	P20810	UNIPROT	CAPN2	protein	P17655	UNIPROT	down-regulates activity	binding
CAPN2	protein	P17655	UNIPROT	CDK5R1	protein	Q15078	UNIPROT	up-regulates activity	cleavage
CDK5/CDK5R1	complex	SIGNOR-C144	SIGNOR	MAPT	protein	P10636	UNIPROT	down-regulates	phosphorylation
TRADD	protein	Q15628	UNIPROT	TRAF2	protein	Q12933	UNIPROT	up-regulates activity	binding
CDK5/CDK5R1	complex	SIGNOR-C144	SIGNOR	MAPT	protein	P10636	UNIPROT	down-regulates	phosphorylation
CDK5/CDK5R1	complex	SIGNOR-C144	SIGNOR	MAPT	protein	P10636	UNIPROT	down-regulates	phosphorylation
CDK5/CDK5R1	complex	SIGNOR-C144	SIGNOR	MAPT	protein	P10636	UNIPROT	down-regulates activity	phosphorylation
CAPN2	protein	P17655	UNIPROT	MAPT	protein	P10636	UNIPROT	down-regulates activity	cleavage
CAPN2	protein	P17655	UNIPROT	GSK3A	protein	P49840	UNIPROT	up-regulates activity	cleavage
CAPN2	protein	P17655	UNIPROT	GSK3B	protein	P49841	UNIPROT	up-regulates activity	cleavage
MAPK3	protein	P27361	UNIPROT	BCL2	protein	P10415	UNIPROT	up-regulates	phosphorylation
CDK2	protein	P24941	UNIPROT	LIG3	protein	P49916	UNIPROT	down-regulates	phosphorylation
mTORC1	complex	SIGNOR-C3	SIGNOR	EIF4EBP1	protein	Q13541	UNIPROT	down-regulates activity	phosphorylation
MTOR	protein	P42345	UNIPROT	EIF4EBP1	protein	Q13541	UNIPROT	down-regulates activity	phosphorylation
CSNK2A1	protein	P68400	UNIPROT	NPHP1	protein	O15259	UNIPROT	up-regulates	phosphorylation
PAK4	protein	O96013	UNIPROT	RAN	protein	P62826	UNIPROT	unknown	phosphorylation
MAPK3	protein	P27361	UNIPROT	DUSP1	protein	P28562	UNIPROT	down-regulates	phosphorylation
SMAD6	protein	O43541	UNIPROT	SMAD1	protein	Q15797	UNIPROT	down-regulates	binding
IRAK1	protein	P51617	UNIPROT	TRAF6	protein	Q9Y4K3	UNIPROT	up-regulates activity	binding
TRAF2	protein	Q12933	UNIPROT	RIPK1	protein	Q13546	UNIPROT	up-regulates activity	binding
TBX2	protein	Q13207	UNIPROT	CDKN2A	protein	P42771	UNIPROT	down-regulates quantity by repression	transcriptional regulation
CALM1	protein	P62158	UNIPROT	NOS3	protein	P29474	UNIPROT	up-regulates activity	binding
AKT3	protein	Q9Y243	UNIPROT	NOS3	protein	P29474	UNIPROT	up-regulates activity	phosphorylation
NOS3	protein	P29474	UNIPROT	nitric oxide	smallmolecule	CID:145068	PUBCHEM	up-regulates quantity	small molecule catalysis
AKT	proteinfamily	SIGNOR-PF24	SIGNOR	NOS3	protein	P29474	UNIPROT	up-regulates activity	binding
AKT1	protein	P31749	UNIPROT	NOS3	protein	P29474	UNIPROT	up-regulates activity	phosphorylation
AKT1	protein	P31749	UNIPROT	NOS3	protein	P29474	UNIPROT	up-regulates activity	binding
AKT2	protein	P31751	UNIPROT	NOS3	protein	P29474	UNIPROT	up-regulates activity	binding
PRKACA	protein	P17612	UNIPROT	NOS3	protein	P29474	UNIPROT	up-regulates activity	phosphorylation
PRKAA1	protein	Q13131	UNIPROT	NOS3	protein	P29474	UNIPROT	down-regulates activity	phosphorylation
AKT3	protein	Q9Y243	UNIPROT	NOS3	protein	P29474	UNIPROT	up-regulates activity	binding
AMPK	complex	SIGNOR-C15	SIGNOR	NOS3	protein	P29474	UNIPROT	down-regulates activity	phosphorylation
AKT	proteinfamily	SIGNOR-PF24	SIGNOR	NOS3	protein	P29474	UNIPROT	up-regulates activity	phosphorylation
PRKCA	protein	P17252	UNIPROT	NOS3	protein	P29474	UNIPROT	down-regulates activity	phosphorylation
PRKACA	protein	P17612	UNIPROT	NOS3	protein	P29474	UNIPROT	up-regulates activity	phosphorylation
PRKCZ	protein	Q05513	UNIPROT	NOS3	protein	P29474	UNIPROT	down-regulates activity	phosphorylation
PRKCH	protein	P24723	UNIPROT	NOS3	protein	P29474	UNIPROT	down-regulates activity	phosphorylation
PRKCQ	protein	Q04759	UNIPROT	NOS3	protein	P29474	UNIPROT	down-regulates activity	phosphorylation
PRKCI	protein	P41743	UNIPROT	NOS3	protein	P29474	UNIPROT	down-regulates activity	phosphorylation
PRKCD	protein	Q05655	UNIPROT	NOS3	protein	P29474	UNIPROT	down-regulates activity	phosphorylation
MAPK1	protein	P28482	UNIPROT	BCL2	protein	P10415	UNIPROT	up-regulates quantity by stabilization	phosphorylation
PRKCB	protein	P05771	UNIPROT	NOS3	protein	P29474	UNIPROT	down-regulates activity	phosphorylation
AKT1	protein	P31749	UNIPROT	ACLY	protein	P53396	UNIPROT	unknown	phosphorylation
PRKCD	protein	Q05655	UNIPROT	HABP4	protein	Q5JVS0	UNIPROT	down-regulates activity	phosphorylation
PPP1CA	protein	P62136	UNIPROT	NEK2	protein	P51955	UNIPROT	down-regulates	dephosphorylation
CAMK2A	protein	Q9UQM7	UNIPROT	SRF	protein	P11831	UNIPROT	up-regulates activity	phosphorylation
MTOR	protein	P42345	UNIPROT	EIF4EBP1	protein	Q13541	UNIPROT	down-regulates activity	phosphorylation
PRKCE	protein	Q02156	UNIPROT	NOS3	protein	P29474	UNIPROT	down-regulates activity	phosphorylation
ERK1/2	proteinfamily	SIGNOR-PF1	SIGNOR	RPS6KA1	protein	Q15418	UNIPROT	up-regulates activity	phosphorylation
APP	protein	P05067	UNIPROT	Amyloid fibril formation	phenotype	SIGNOR-PH59	SIGNOR	up-regulates	
MAPT	protein	P10636	UNIPROT	Neurofibrillary tangle formation	phenotype	SIGNOR-PH58	SIGNOR	down-regulates	
Amyloid fibril formation	phenotype	SIGNOR-PH59	SIGNOR	Apoptosis	phenotype	SIGNOR-PH2	SIGNOR	up-regulates	
Neurofibrillary tangle formation	phenotype	SIGNOR-PH58	SIGNOR	Apoptosis	phenotype	SIGNOR-PH2	SIGNOR	up-regulates	
MAPT	protein	P10636	UNIPROT	Neurofibrillary tangle formation	phenotype	SIGNOR-PH58	SIGNOR	up-regulates	
PTPN1	protein	P18031	UNIPROT	INSR	protein	P06213	UNIPROT	down-regulates activity	dephosphorylation
PTPN1	protein	P18031	UNIPROT	PDGFRB	protein	P09619	UNIPROT	down-regulates activity	dephosphorylation
