ENTITYA	TYPEA	IDA	DATABASEA	ENTITYB	TYPEB	IDB	DATABASEB	EFFECT	MECHANISM
MAPK3	protein	P27361	UNIPROT	SMAD2	protein	Q15796	UNIPROT	up-regulates activity	phosphorylation
MAPK1	protein	P28482	UNIPROT	PCYT1A	protein	P49585	UNIPROT	down-regulates	phosphorylation
mTORC1	complex	SIGNOR-C3	SIGNOR	ULK1/Atg13/Fip200	complex	SIGNOR-C100	SIGNOR	down-regulates activity	phosphorylation
IL17A	protein	Q16552	UNIPROT	KLF3	protein	P57682	UNIPROT	up-regulates	transcriptional regulation
EPHA3	protein	P29320	UNIPROT	SRC	protein	P12931	UNIPROT	up-regulates	binding
GSK3B	protein	P49841	UNIPROT	MAFA	protein	Q8NHW3	UNIPROT	up-regulates	phosphorylation
EPHB2	protein	P29323	UNIPROT	SRC	protein	P12931	UNIPROT	up-regulates	binding
SH3RF1	protein	Q7Z6J0	UNIPROT	MAP2K4	protein	P45985	UNIPROT	up-regulates	binding
SH3RF1	protein	Q7Z6J0	UNIPROT	MAP2K7	protein	O14733	UNIPROT	up-regulates	binding
NTRK1	protein	P04629	UNIPROT	SHC1	protein	P29353	UNIPROT	up-regulates	binding
DUSP16	protein	Q9BY84	UNIPROT	MAPK8IP1	protein	Q9UQF2	UNIPROT	up-regulates	binding
AKT1	protein	P31749	UNIPROT	FOXO1	protein	Q12778	UNIPROT	down-regulates activity	phosphorylation
AKT1	protein	P31749	UNIPROT	FOXO1	protein	Q12778	UNIPROT	down-regulates	relocalization
IL17A	protein	Q16552	UNIPROT	KLF2	protein	Q9Y5W3	UNIPROT	up-regulates	transcriptional regulation
GRB2	protein	P62993	UNIPROT	GAB2	protein	Q9UQC2	UNIPROT	up-regulates	binding
IL2RB	protein	P14784	UNIPROT	JAK1	protein	P23458	UNIPROT	up-regulates	binding
IL2RB	protein	P14784	UNIPROT	SHC1	protein	P29353	UNIPROT	up-regulates	binding
GAB2	protein	Q9UQC2	UNIPROT	PIK3CA	protein	P42336	UNIPROT	up-regulates	binding
FGFR1	protein	P11362	UNIPROT	MAP2K1	protein	Q02750	UNIPROT	up-regulates	
BMP7	protein	P18075	UNIPROT	PPARGC1A	protein	Q9UBK2	UNIPROT	up-regulates	transcriptional regulation
BMP7	protein	P18075	UNIPROT	UCP1	protein	P25874	UNIPROT	up-regulates	transcriptional regulation
BMP7	protein	P18075	UNIPROT	PRDM16	protein	Q9HAZ2	UNIPROT	up-regulates	transcriptional regulation
BMP7	protein	P18075	UNIPROT	DLK1	protein	P80370	UNIPROT	down-regulates	transcriptional regulation
PPARG	protein	P37231	UNIPROT	FABP4	protein	P15090	UNIPROT	up-regulates	transcriptional regulation
CSNK1D	protein	P48730	UNIPROT	GSK3B/Axin/APC	complex	SIGNOR-C110	SIGNOR	up-regulates	phosphorylation
CSNK1E	protein	P49674	UNIPROT	GSK3B/Axin/APC	complex	SIGNOR-C110	SIGNOR	up-regulates	phosphorylation
PPARGC1A	protein	Q9UBK2	UNIPROT	PPARGC1A	protein	Q9UBK2	UNIPROT	up-regulates quantity by expression	transcriptional regulation
RRAGA	protein	Q7L523	UNIPROT	RAGAD	complex	SIGNOR-C114	SIGNOR	form complex	binding
RRAGD	protein	Q9NQL2	UNIPROT	RAGAD	complex	SIGNOR-C114	SIGNOR	form complex	binding
RRAGC	protein	Q9HB90	UNIPROT	RAGBC	complex	SIGNOR-C115	SIGNOR	form complex	binding
RRAGB	protein	Q5VZM2	UNIPROT	RAGBC	complex	SIGNOR-C115	SIGNOR	form complex	binding
RRAGB	protein	Q5VZM2	UNIPROT	RAGBD	complex	SIGNOR-C116	SIGNOR	form complex	binding
RRAGD	protein	Q9NQL2	UNIPROT	RAGBD	complex	SIGNOR-C116	SIGNOR	form complex	binding
SIM1	protein	P81133	UNIPROT	ARNT	protein	P27540	UNIPROT	down-regulates activity	binding
